Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
23,50.0,49.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001ORL/TYN149-156:2,1.0,1.4,12,-26274,HC(O)CO,,,CO,HCO,,224,1.0
24,51.0,49.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2010DAS6698-6705:6,1.0,2.37,14,-42413,HC(O)CO,,,CO,HCO,,200,1.0
25,54.0,49.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:9,1.0,6.4,13,-35100,HC(O)CO,,,CO,HCO,,"298
 
K",1.0
26,55.0,49.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:29,1.0,1.8,6,,HC(O)CO,,,CO,HCO,,"298
 
K",1.0
27,56.0,50.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0750B30280F398686C0ED8AB2D30FCEE?id=2012VIL/HUY5068-5089:17,1.0,3.37,9,-59831,(.)C(CH2OOH)(CH3)CH2CH3,,,CH3CH2CH(CH3)CH2OO(.),,,300,1.0
30,61.0,55.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB18B04EFA7FC4F2CBBF4FB2F53CD374?id=1998KUL/KOG5228-5235:1,1.0,8.95,-9,,CF(O)NO,,,FCO,NO,,"298
 
K",1.0
31,62.0,56.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=EDE77CD77039E2B9A28C5098BFAF6385?id=1998KUL/KOG5228-5235:2,1.0,3.24,-13,,CF(O)NO,,,CO,FNO,,"298
 
K",1.0
32,63.0,57.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5480AFD984B123884FDF796040C5E2C5?id=1996GRO/GRO1038-1047:2,1.0,8.99,-5,,n-C6H13C(O)OONO2,,,n-C6H13C(O)OO(.),NO2,,291,1.0
33,64.0,58.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2006ZHA/LI190-196:1,1.0,2.91,4,-43734,BNH2,,,HBNH,,,200,1.0
34,65.0,58.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2003ROS/CRA10647-10652:1,1.0,,,-114642,BNH2,,,HBNH,,,,1.0
37,72.0,65.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FF6B7EB5F37B0559B08FE2FB7502040?id=1997KIR/THU1801-1804:1,1.0,1.1,16,-93122,CH3OCH2OONO2,,,NO2,CH3OCH2OO(.),,257,1.0
38,73.0,66.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2486A80ABC0B380501374BA03AE4B4E?id=1991YAR/PEN7330-7337:6,1.0,2.6,-1,,ClCH=CHOO(.),,,HC(O)Cl,HCO,,"296
 
K",1.0
