Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
9561,12739.0,5478.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D6CD3BDC2BBEF002729256E3F628EE0E?id=1936HEL/POL633:7,2.0,2.44,-10,,[None],[None],,[None],['[As](Cl)(Cl)Cl'],,"543
 
K",2.0
9562,12740.0,5479.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=86FCA36F965D0F0488B1FDA858642FC5?id=1997DEM/SAN1-266:381,2.0,7.31,-10,,[None],[None],,[None],[None],,200,2.0
9563,12741.0,5479.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=86FCA36F965D0F0488B1FDA858642FC5?id=1994DEM/SAN:360,2.0,7.31,-10,,[None],[None],,[None],[None],,200,2.0
9564,12742.0,5479.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=86FCA36F965D0F0488B1FDA858642FC5?id=1986TAL/AGE6161:2,2.0,7.8,-10,,[None],[None],,[None],[None],,"293
 
K",2.0
9565,12743.0,5479.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=86FCA36F965D0F0488B1FDA858642FC5?id=1986SIL4718:1,2.0,6.71,-10,,[None],[None],,[None],[None],,"294
 
K",2.0
9604,12784.0,5488.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9727E627FAD3F23D05C75793B5FD65CE?id=1936HEL/POL633:5,2.0,5.83,-10,,[None],[None],,[None],[None],,"543
 
K",2.0
9605,12785.0,5489.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=772F175F5B99036647E58C758864308E?id=1936HEL/POL633:4,2.0,1.65,-10,,[None],[None],,[None],['[Cl-].[Ti+3].[Cl-].[Cl-]'],,"543
 
K",2.0
9614,12796.0,5497.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0E38314E2ACAC04ABD6D80F8450B66E6?id=1998KUN/ROT1492-1495:1,2.0,6.64,-11,,[None],[None],,[None],[None],,1530,2.0
9637,12825.0,5509.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D18607D6F744BF468C884B2CCCE082EB?id=1978HUS/NOR106:6,2.0,3.3,-10,,[None],[None],,[None],[None],,"300
 
K",2.0
9641,12833.0,5514.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4157BE7BE7C47E7639DF9E2B6C9D6C83?id=1986MAR/THO4426:1,3.0,1.64,-33,-1971,[None],[None],,[None],,,200,3.0
9707,12935.0,5572.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0CEA540938647BBA0054D697E8E825DD?id=2003KHA/VIS6360-6365:2,2.0,1.38,-12,1730,[None],[None],,['[Hg]Cl'],,,,2.0
9711,12939.0,5576.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C33C8EDA21AC343D93C01E253CE81EB?id=2006DON/BAU6623-6632:2,3.0,4.2,-33,,[None],[None],,[None],,,"293
 
K",3.0
9712,12940.0,5576.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C33C8EDA21AC343D93C01E253CE81EB?id=2006DON/BAU6623-6632:1,3.0,1.46,-32,,[None],[None],,[None],,,243,3.0
9713,12941.0,5576.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C33C8EDA21AC343D93C01E253CE81EB?id=2004GOO/PLA1772-1776:1,2.0,1.1,-12,,[None],[None],,[None],,,180,2.0
9714,12942.0,5576.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C33C8EDA21AC343D93C01E253CE81EB?id=2003KHA/VIS6360-6365:3,2.0,1.01,-12,1738,[None],[None],,[None],,,,2.0
9720,12949.0,5580.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9706CF35BDA3D4E0F19CCD43C3F9A4EF?id=2012KRI/HEL1-9:3,2.0,7.51,-11,-150600,[None],[None],,['[Hg]Cl'],[None],,298,2.0
9721,12950.0,5580.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9706CF35BDA3D4E0F19CCD43C3F9A4EF?id=2009WIL6633-6639:3,2.0,1.02,-10,-181167,[None],[None],,['[Hg]Cl'],[None],,298,2.0
