ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
295,7.03,9,-89846,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
296,5.73,9,-93272,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
298,2.51,14,-251929,[None],,,['C=CC=C'],https://cactus.nci.nih.gov/chemical/structure/CH2%3DSiHCH3/smiles,
310,3.2,13,-108920,https://cactus.nci.nih.gov/chemical/structure/CHCl2CH2%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
311,1.26,12,-122223,https://cactus.nci.nih.gov/chemical/structure/CH3CH2CH2SiH/smiles,,,['[SiH2]1CCC1'],,
312,6.31,12,-125549,https://cactus.nci.nih.gov/chemical/structure/CH3CH2CH2SiH/smiles,,,CH3CH=CH2,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
313,2.68,-2,-106575,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
314,6.78,-7,-74481,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
315,7.59,14,-70399,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
325,1.01,11,-168197,['N(=[N+]=[N-])CCN(C)C'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-N%28CH3%292CH2CH2N/smiles,N2,
326,1.2,12,-172381,['N(=[N+]=[N-])CCN(C)C'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-CH%28N%28CH3%292%29CH2NH/smiles,N2,
341,6.61,13,-231142,['ClCCC1CCCC1'],,,['C(=C)C1CCCC1'],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
342,3.98,13,-206199,https://cactus.nci.nih.gov/chemical/structure/CH3%28CH2%294CHClCHCl%28CH2%294CH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
343,3.72,19,-161301,https://cactus.nci.nih.gov/chemical/structure/HSiOH/smiles,,,H2,https://cactus.nci.nih.gov/chemical/structure/SiO/smiles,
349,3,13,-43651,https://cactus.nci.nih.gov/chemical/structure/CF2ClO/smiles,,,COF2,[None],
350,3,13,-43651,https://cactus.nci.nih.gov/chemical/structure/CF2ClO/smiles,,,COF2,[None],
351,1.7,5,-2428,https://cactus.nci.nih.gov/chemical/structure/CF2ClO/smiles,,,COF2,[None],
352,4.3,10,-23214,https://cactus.nci.nih.gov/chemical/structure/CF2ClO/smiles,,,COF2,[None],
353,5.4,11,-8655,https://cactus.nci.nih.gov/chemical/structure/CF2ClO/smiles,,,COF2,[None],
383,3.87,12,-83976,https://cactus.nci.nih.gov/chemical/structure/C2H5SiH/smiles,,,['[SiH2]1CC1'],,
386,3.32,-1,-129000,https://cactus.nci.nih.gov/chemical/structure/Cr%28CO%293/smiles,,,https://cactus.nci.nih.gov/chemical/structure/Cr%28CO%292/smiles,CO,
387,1.46,17,-129000,https://cactus.nci.nih.gov/chemical/structure/Cr%28CO%293/smiles,,,https://cactus.nci.nih.gov/chemical/structure/Cr%28CO%292/smiles,CO,
390,5.53,17,-64520,https://cactus.nci.nih.gov/chemical/structure/H3SiO%28%28.%29%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/H2Si%28%28.%29%29OH/smiles,,
392,1.05,13,-145900,CH3SSCH2,,,https://cactus.nci.nih.gov/chemical/structure/cyc-CH2SS/smiles,(.)CH3,
397,3.98,13,-206199,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiC%28OCH3%29%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiOCH3/smiles,CH2=C,
398,1,14,-211188,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiC%28OCH3%29%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiOCH3/smiles,CH2=C,
405,5.01,14,-82812,CH3CH2CH2OONO2,,,NO2,https://cactus.nci.nih.gov/chemical/structure/n-C3H7O2/smiles,
417,3.47,13,-209300,https://cactus.nci.nih.gov/chemical/structure/CH2ClC%28OCH3%293/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CHCl%3DC%28OCH3%292/smiles,CH3OH,
418,1.78,14,-210100,https://cactus.nci.nih.gov/chemical/structure/CH2ClC%28OCH3%293/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CHCl%3DC%28OCH3%292/smiles,CH3OH,
419,1,17,-113077,https://cactus.nci.nih.gov/chemical/structure/Fe%28CO%293%28C2H4%292/smiles,,,C2H4,https://cactus.nci.nih.gov/chemical/structure/Fe%28CO%293%28C2H4%29/smiles,
420,2,-13,7234,https://cactus.nci.nih.gov/chemical/structure/CH2ClO2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles
421,2.01,-13,7234,https://cactus.nci.nih.gov/chemical/structure/CH2ClO2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles
422,1.94,-13,7267,https://cactus.nci.nih.gov/chemical/structure/CH2ClO2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClO/smiles
432,7.41,12,-218671,['ClCCC1=CC(=CC=C1)OC'],,,['C(=C)C1=CC(=CC=C1)OC'],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
433,7.94,13,-231142,['ClCCCC1=C(C=CC=C1)OC'],,,['COC1=C(C=CC=C1)CC=C'],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
446,9.65,40,-767757,[None],,,https://cactus.nci.nih.gov/chemical/structure/o-C6H4/smiles,(.)CH2C≡CH,
458,7.08,10,-182087,['C(C)C1(C(C1)C)C(C(=O)O)(C)C'],,,CO2,https://cactus.nci.nih.gov/chemical/structure/n-C3H7C%28C2H5%29%3DC%28CH3%292/smiles,
467,1.15,14,-130288,https://cactus.nci.nih.gov/chemical/structure/%28iso-C3H7%29%28CH2%293CH2%28.%29/smiles,,,C2H4,(CH3)2CHCH2CH2(.),
468,1.55,9,-65992,https://cactus.nci.nih.gov/chemical/structure/%28iso-C3H7%29%28CH2%293CH2%28.%29/smiles,,,CH3CH2CH2CH((.))CH(CH3)2,,
469,6.17,8,-57944,https://cactus.nci.nih.gov/chemical/structure/%28iso-C3H7%29%28CH2%293CH2%28.%29/smiles,,,CH3CH2CH((.))CH2CH(CH3)2,,
470,4.68,8,-33599,https://cactus.nci.nih.gov/chemical/structure/%28iso-C3H7%29%28CH2%293CH2%28.%29/smiles,,,CH3CH2CH2CH2C((.))(CH3)2,,
471,1.79,-3,-87302,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
472,1.79,-3,-87302,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
473,1.79,-3,-87302,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
474,5.6,-4,-77408,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
475,1.6,16,-99774,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
476,1.6,16,-99774,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
477,1.6,16,-99774,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
478,1,16,-98942,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
479,1.1,-5,-78572,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
480,1.79,-3,-87302,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
481,6.7,16,-98942,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
482,1.6,16,-99774,https://cactus.nci.nih.gov/chemical/structure/CClF2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CClF2OO/smiles,
483,1,-2,-90628,https://cactus.nci.nih.gov/chemical/structure/CFCl2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CCl2FO2/smiles,
484,1.01,-2,-90628,https://cactus.nci.nih.gov/chemical/structure/CFCl2OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/CCl2FO2/smiles,
