ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1296,3.85,11,-197053,https://cactus.nci.nih.gov/chemical/structure/CH3CCl2F/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCFCl/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1308,1.26,9,-125549,https://cactus.nci.nih.gov/chemical/structure/%28C6H5%293SiCH%28C6H5%29OC%28O%29CH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28C6H5%292Si%28OCOCH3%29CH%28C6H5%292/smiles,,
1341,3.98,11,-68594,https://cactus.nci.nih.gov/chemical/structure/CCl3CHCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C2HCl3/smiles,[None],
1342,5.01,11,-85639,https://cactus.nci.nih.gov/chemical/structure/CCl3CHCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C2HCl3/smiles,[None],
1343,2.51,13,-69842,https://cactus.nci.nih.gov/chemical/structure/CCl3CHCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C2HCl3/smiles,[None],
1344,2.51,13,-69842,https://cactus.nci.nih.gov/chemical/structure/CHCl2C%28%28.%29%29Cl2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C2HCl3/smiles,[None],
1345,6.5,13,-82978,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
1346,6.5,13,-82978,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
1347,2,14,-83976,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
1348,2.14,14,-86471,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
